COUNTRY,CITY,ZONE,ZONE_TYPE,ZONE_PRIORITIZATION,METRIC,L8W_ROLL,L7W_ROLL,L6W_ROLL,L5W_ROLL,L4W_ROLL,L3W_ROLL,L2W_ROLL,L1W_ROLL,L0W_ROLL
BR,Rio De Janeiro,Belford Roxo,Non Wealthy,Not Prioritized,Gross Profit UE,-18.29940149,-11.89819856,,,-5.929311277,-3.90728086,-0.430782337,0.301188209,-7.609787928
MX,Ensenada,ENS_Ensenada_2,Non Wealthy,Prioritized,Gross Profit UE,-3.974473552,-3.699848346,-3.304396974,-2.810857873,-2.391267526,-2.523246174,-9.433202379,-8.543579731,-2.830666457
BR,Curitiba,PR - SJP - São José dos Pinhais,Non Wealthy,Not Prioritized,Gross Profit UE,-9.769601186,-6.863639703,-5.122821862,-6.064576946,-8.81815253,-7.406859991,-5.29820849,-5.033452204,-4.73684874
EC,Guayaquil,Mapasingue,Non Wealthy,Not Prioritized,Gross Profit UE,2.340986015,2.043067406,1.26742787,0.517206058,0.286943867,0.350467812,0.413003958,1.309248805,2.06610415
PE,Piura,Residencial,Non Wealthy,Prioritized,Retail SST > SS CVR,0.91610015,0.919753834,0.917105154,0.916733032,0.914494706,0.910780494,0.911803516,0.912780707,0.91224429
CR,San Jose,San_Pedro_Curri_3R,Non Wealthy,Not Prioritized,Gross Profit UE,-3.660545512,-3.796977813,-4.145802604,-5.122769761,-4.443262715,-5.48534087,-1.2530433,-2.296881327,-5.975658466
PE,Lima,Cono norte,Non Wealthy,High Priority,Gross Profit UE,0.875237755,0.50572804,0.716441044,1.128815502,0.988872868,0.837925447,0.923234595,1.184633968,-0.029141962
CL,Temuco,Temuco_Centro,Non Wealthy,Not Prioritized,Gross Profit UE,-5.172577453,-4.755604662,-4.957575872,-5.589115722,-5.303643571,-5.308088437,-5.220472119,-4.343731154,-5.42224921
MX,Ciudad Obregon,COB_OBREGON,Non Wealthy,Prioritized,Gross Profit UE,-1.276284273,-1.443440639,-0.938412235,-0.497164306,-0.815720632,-1.007297165,-0.574970704,0.061960989,-0.141022405
MX,Cadereyta De Jimenez,CAD EL MILAGRO,Non Wealthy,Not Prioritized,Gross Profit UE,-0.700084369,-0.327801892,0.048174832,0.789275845,1.171728746,1.827275092,2.468318934,1.71999899,0.94167951
BR,Brasilia,DF - BSB - Lago Sul,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.901179691,0.903468974,0.923415816,0.915748461,0.923520129,0.915259443,0.910323166,0.914799383,0.912223086
MX,Oaxaca,OAX Morelos,Non Wealthy,Prioritized,Retail SST > SS CVR,0.854003721,0.864498014,0.862092936,0.877010585,0.881305793,0.884408339,0.896602511,0.89393484,0.880727483
CL,Santiago De Chile,la_cisterna_san_miguel,Non Wealthy,High Priority,Gross Profit UE,0.352672299,0.278922762,-0.434965256,0.074421412,0.578278507,0.440978445,0.568419778,1.155160652,0.373592096
BR,Fortaleza,ce_for_montese/aero/castelao,Non Wealthy,Not Prioritized,Gross Profit UE,-0.472709934,0.405410356,-0.031061984,-2.483659399,-0.850470953,0.839315929,0.730846533,1.2530479,-0.043336955
CO,Duitama,Duitama,Non Wealthy,Not Prioritized,Gross Profit UE,2.427218379,2.395188391,2.336855582,2.378998478,-104.2975333,-80.76230246,-51.12251615,-109.3555053,-89.40075465
BR,Grande São Paulo,SP - GRU - Jardim Pres. Dutra,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.919475887,0.892426737,0.863769039,0.862042341,0.854123093,0.86769038,0.882406106,0.885302123,0.852283145
BR,Niteroi,Piratininga / Itaipu,Non Wealthy,Not Prioritized,Gross Profit UE,-0.333062593,0.825221374,1.163797831,-0.377924857,2.3014147,4.833964365,3.101603156,1.647784521,0.909952468
BR,Vitoria,Vitoria FS,Non Wealthy,Not Prioritized,Gross Profit UE,-0.605523644,-0.360525063,0.190945328,-1.700728003,1.125490206,,2.522233772,-1.920379532,-7.190370598
CO,Bogota,Colina,Wealthy,Prioritized,Retail SST > SS CVR,0.902952269,0.901477462,0.902728788,0.902731552,0.904631756,0.921005844,0.939123493,0.956189148,0.966514066
MX,Tampico,Tam_aeropuerto,Non Wealthy,Prioritized,Gross Profit UE,0.54242192,0.517421151,0.473222322,0.518510089,0.736625974,0.563240388,0.765457693,1.113580781,0.974301141
EC,Quito,Eden del Valle,Non Wealthy,Not Prioritized,Gross Profit UE,0.202253858,-0.580748685,-0.992610086,-1.244570689,-1.153148364,-1.146455211,-1.857376034,-2.162484665,-0.826920734
EC,Guayaquil,Via la costa Este,Wealthy,Prioritized,Gross Profit UE,2.825274438,2.700884525,2.215488076,2.317575329,1.896971105,2.252750811,2.317786954,2.921843958,2.863485376
MX,Guadalajara,Oblatos,Non Wealthy,Prioritized,Retail SST > SS CVR,0.868882144,0.87530252,0.883777599,0.886783554,0.876048967,0.877692279,0.883439048,0.890822774,0.882627742
CO,Ibague,Centro Ricaurte,Non Wealthy,Prioritized,Gross Profit UE,1.624796341,1.529431638,1.405936591,1.37242092,1.852827658,2.21518848,2.205215204,2.036509859,1.511436749
AR,Buenos Aires,Belgrano,Wealthy,Prioritized,Retail SST > SS CVR,0.910038215,0.912989389,0.908531804,0.906122694,0.905650971,0.90687023,0.914838528,0.915361762,0.915961169
CL,Santiago De Chile,Pudahuel,Non Wealthy,Not Prioritized,Gross Profit UE,0.145781434,-0.049451049,-0.644277036,-0.608306154,-0.020548641,0.570704858,1.16853813,1.519385882,-0.228718521
CO,Ibague,El Salado,Non Wealthy,Not Prioritized,Gross Profit UE,0.548926471,0.34289637,0.478294687,-0.707603683,0.187396283,1.483419401,1.694460927,1.792489084,0.718713591
CO,Rionegro,Rio Negro,Non Wealthy,Prioritized,Gross Profit UE,2.485148601,2.390014178,2.387758778,2.434265676,2.542544177,2.818426988,2.839484554,2.924341083,3.028598062
PE,Lima,San Borja,Wealthy,Prioritized,Retail SST > SS CVR,0.931781496,0.926325928,0.927977233,0.928711619,0.926718631,0.925412619,0.939999976,0.952399304,0.959559093
MX,Reynosa,Reynosa_centro,Wealthy,Prioritized,Gross Profit UE,3.342414132,3.209123882,3.24384551,3.818455963,3.904780746,3.544821564,3.611425418,4.022746346,4.105930783
MX,Morelia,MOR_Villa_Tzipekua,Non Wealthy,Prioritized,Retail SST > SS CVR,0.873417996,0.875891428,0.885001775,0.891056653,0.880315045,0.880028954,0.891572995,0.889512155,0.877888898
PE,Lima,Miraflores,Wealthy,Prioritized,Gross Profit UE,3.55062435,3.278590304,3.205772106,3.405249245,3.279111778,3.149742591,3.219796192,3.389386505,2.041946499
CO,Barranquilla,Malambo,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.587092492,0.595308738,0.518425904,0.483402045,0.486131222,0.505384615,0.584230769,0.584038462,0.620512821
BR,Rio De Janeiro,Ilha do Governador,Wealthy,Not Prioritized,Gross Profit UE,0.186387977,1.080706487,0.873105721,0.447254945,1.868576605,3.0780649,3.212202419,3.537871129,3.231502546
BR,Teresina,PI - THE - Teresina,Non Wealthy,Not Prioritized,Gross Profit UE,-6.041265724,-14.20526906,-9.256157907,-5.716366281,-4.065887391,-0.927227873,,,-1.04215718
EC,Quito,San Martin de Porras,Non Wealthy,Not Prioritized,Gross Profit UE,0.437878477,-1.050804959,-2.396711816,-1.711474653,0.903336746,-2.196378201,-1.895547679,-1.289372519,-1.05058797
MX,Valle De Chalco,Valle_de_Chalco,Non Wealthy,Not Prioritized,Gross Profit UE,1.085409223,0.663516847,0.500613108,0.721894081,1.174227268,1.394153589,2.007376656,2.650783726,1.688021203
MX,Valle De Chalco,Valle_de_Chalco,Non Wealthy,Not Prioritized,Gross Profit UE,1.085409223,0.663516847,0.500613108,0.721894081,1.174227268,1.394153589,2.007376656,2.650783726,1.688021203
MX,Ciudad De Mexico,Tlalnepantla,Non Wealthy,High Priority,Gross Profit UE,0.971699913,0.335522733,-0.16731013,-0.419799831,0.109478179,0.3693207,0.978013418,1.531281129,1.460586859
EC,Quito,Eden del Valle,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.761223782,0.785104436,0.758064784,0.762268519,0.78973138,0.795903032,0.787153668,0.76932616,0.783200128
BR,Fortaleza,ce_for_p_kennedy/a_bezerra/v_velha,Non Wealthy,Not Prioritized,Gross Profit UE,-1.414934369,-1.636184364,-2.154279236,-2.729400498,-1.098656001,0.592715735,0.931542308,0.191686366,-0.400492204
AR,Buenos Aires,Ramos,Non Wealthy,High Priority,Retail SST > SS CVR,0.917696791,0.916168334,0.917915841,0.923935312,0.927556295,0.930659791,0.930582302,0.927068766,0.917091885
MX,Guanajuato,GUA_NORTE,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.872746011,0.883899899,0.894111063,0.904003114,0.896002135,0.897098445,0.907268198,0.910748203,0.906286997
BR,Goiânia,GO - GYN - Centro,Non Wealthy,Not Prioritized,Gross Profit UE,0.189461058,-0.286460434,-1.011259765,-1.595346204,-0.691610839,0.45169885,1.583381926,1.968593392,2.43108563
PE,Trujillo,El Porvenir,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.798508568,0.802730385,0.793219912,0.802635291,0.776493143,0.787897568,0.793134577,0.77138746,0.773232265
EC,Guayaquil,Matices,Non Wealthy,Prioritized,Gross Profit UE,2.241875839,1.996698422,1.888359032,1.552197365,1.927728131,1.738402755,1.68666977,2.45809181,3.380153044
MX,Tapachula,Tapachula,Non Wealthy,Not Prioritized,Gross Profit UE,2.114807105,1.886557572,1.729346391,1.714976617,-17.49319627,-29.55395237,-34.39131641,-31.69463253,-19.84582687
BR,Recife,PE - REC - Centro,Non Wealthy,Prioritized,Retail SST > SS CVR,0.957443407,0.955987487,0.957237794,0.958179193,0.961089243,0.964364953,0.96456037,0.963972707,0.960284358
CO,Cucuta,Cúcuta All,Non Wealthy,High Priority,Gross Profit UE,0.472544699,0.686779572,0.606749687,0.463094996,0.869447831,1.071624938,1.41419901,1.617425209,1.307610141
BR,Curitiba,PR - CWB - Novo Mundo,Non Wealthy,Prioritized,Gross Profit UE,0.679656037,0.470283945,0.300956979,0.422132666,0.715924521,0.937968136,1.337325751,1.363654585,0.530302525
AR,Rosario,Rosario Norte,Non Wealthy,Prioritized,Gross Profit UE,-2.783287039,-3.407370136,-3.273399292,-3.126463467,-3.339608749,-3.501719463,-2.737355121,-1.655416457,-2.271055765
CO,Bogota,Suba,Non Wealthy,High Priority,Retail SST > SS CVR,0.903151827,0.904935597,0.906450945,0.901827547,0.900886719,0.91428506,0.928280226,0.941309235,0.949449074
MX,Tijuana,TIJ_Centro_Norte,Wealthy,High Priority,Gross Profit UE,-0.221947781,-0.374386748,-0.276349095,0.0526133,0.737495641,1.149297812,0.81833654,1.002608346,1.116087519
BR,Taubate,Taubaté MP,Non Wealthy,Not Prioritized,Gross Profit UE,-1.032472804,0.00329836,-4.57504105,,,,,,2.836004668
MX,Tecoman,TCM Centro,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0,0,0,0,0,0,0,0,0
MX,Delicias,Delicias,Non Wealthy,Not Prioritized,Gross Profit UE,3.088782867,3.178941851,3.468753906,3.54846913,3.601978458,3.719619322,3.59259335,3.719519404,3.649086373
BR,Rio De Janeiro,Rio das Pedras,Wealthy,Not Prioritized,Retail SST > SS CVR,0.906770645,0.922849549,0.919683033,0.910785317,0.914181558,0.937255413,0.933278388,0.942915385,0.91769784
MX,Queretaro,QRO_JURICA_JURIQUILLA,Non Wealthy,Prioritized,Gross Profit UE,3.459926882,2.969745283,2.657224087,2.255047293,2.273488065,2.316937512,2.679351809,2.992381419,3.082719893
BR,Rio De Janeiro,Bangu,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.875233582,0.895407668,0.897877237,0.835510204,0.828412698,0.819923372,0.799588993,0.80400209,0.801551387
BR,Uberlandia,MG - UBE - Uberlândia,Non Wealthy,Not Prioritized,Gross Profit UE,-3.645218972,-5.453884085,-5.479367789,-6.07836646,-2.961513839,-2.956690148,-2.692170763,-2.706812526,-3.23958411
AR,Buenos Aires,San Miguel,Non Wealthy,Prioritized,Gross Profit UE,-1.506687732,-1.447827752,-1.628471217,-1.350987855,-1.194043284,-1.536256661,-1.684629127,-1.244354722,-1.549539199
MX,Morelia,MOR_Itzicuaro,Non Wealthy,Prioritized,Gross Profit UE,-0.023682618,-0.048265775,0.055998709,0.110100698,0.989660488,1.910525317,2.446121082,2.766233726,2.188870084
CO,Buga,Buga,Non Wealthy,Not Prioritized,Gross Profit UE,1.700124353,1.662005424,1.439283533,1.567018941,2.073360291,2.320866308,2.282279432,2.490851005,2.625631112
AR,Corrientes,Corrientes,Non Wealthy,Not Prioritized,Gross Profit UE,-1.242991703,-1.57500425,-1.594742559,-1.203835616,-0.884320127,-0.879994185,-0.415074597,0.114824083,-0.722845829
BR,Grande São Paulo,SP - SP - Raposo/Rio Pequeno,Non Wealthy,Prioritized,Gross Profit UE,0.43096741,0.669626719,0.711738058,0.711278534,1.276608859,1.566316634,1.367676861,1.264752386,0.44242725
MX,Texcoco,Texcoco,Non Wealthy,Not Prioritized,Gross Profit UE,2.492961793,1.967068158,2.242831623,2.555807701,2.434787755,2.329804744,2.960100995,3.083043578,2.503258844
EC,Guayaquil,Duran,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.709306896,0.715362545,0.718484091,0.668887308,0.653381433,0.685146705,0.686158009,0.69307209,0.656601038
MX,Los Mochis,Moch_1,Non Wealthy,Prioritized,Retail SST > SS CVR,0.855950339,0.862517126,0.862712517,0.866659389,0.8600335,0.851778624,0.86113485,0.878297568,0.874333041
CO,Bogota,Antonio Nariño,Non Wealthy,High Priority,Gross Profit UE,0.599078511,0.31440951,1.09821075,1.689850891,1.899338239,2.178300281,2.041074669,2.32601399,2.333719289
AR,Cordoba,Cordoba Zona Norte,Wealthy,Prioritized,Retail SST > SS CVR,0.901353821,0.898125173,0.903373381,0.894590072,0.899402963,0.902069553,0.898052321,0.904202281,0.900064825
CO,Tulua,Tulua,Non Wealthy,Not Prioritized,Gross Profit UE,1.868879209,1.704149506,1.551537837,1.372911271,1.859737929,2.103546242,2.387636374,2.495826898,2.27776248
AR,Buenos Aires,Urquiza - Saavedra,Wealthy,Prioritized,Retail SST > SS CVR,0.910477864,0.911270111,0.910163369,0.915471774,0.920313397,0.922719727,0.924213102,0.916735234,0.908770707
CL,Santiago De Chile,Recoleta,Non Wealthy,Prioritized,Gross Profit UE,1.238082908,1.019376346,0.534644709,0.936376179,1.488372736,1.464189186,1.882801722,2.728398789,1.37249933
PE,Lima,Alameda Norte,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.631053989,0.610810811,0.624551282,0.650099068,0.676548107,0.701423318,0.701270135,0.720007339,0.680352936
BR,Campinas,SP - CPS - Sousas,Non Wealthy,Not Prioritized,Gross Profit UE,-0.563419318,-2.838587499,-4.804963061,-2.911417434,-0.938391577,-1.178354939,-2.878918614,-0.1848604,7.051524846
PE,Mancora,Mancora_Pocitas,Non Wealthy,Not Prioritized,Gross Profit UE,-50.50922664,-43.03273904,-59.4638103,-82.32823074,-53.36069866,-49.73408794,-88.93752561,-78.82664466,-71.80320055
BR,Rio De Janeiro,Barra,Wealthy,Prioritized,Gross Profit UE,4.164167505,4.119116028,4.709620756,4.856184144,4.898840836,5.307569052,5.463317933,5.440859694,5.148756287
BR,Joinville,MP Atiradores JOI,Non Wealthy,Not Prioritized,Gross Profit UE,1.105649597,-12.19075066,-8.548708247,-2.421986419,-2.029953881,-0.616547605,,2.366249818,2.824267542
CL,Santiago De Chile,autopista_central,Non Wealthy,Not Prioritized,Gross Profit UE,-1.635237457,-1.614486469,-1.904601261,-1.552700098,-0.462562187,-0.837541057,-1.823512402,-1.587192047,-2.401962351
MX,Ciudad Del Carmen,Cd del carmen,Non Wealthy,Prioritized,Retail SST > SS CVR,0.880553088,0.887576492,0.898295581,0.902259619,0.897613671,0.90006676,0.900977902,0.907829985,0.899090342
CO,Bogota,Salitre,Wealthy,High Priority,Gross Profit UE,1.983342492,1.670398804,1.902088439,2.237753442,2.471082456,2.697223505,2.773281788,2.937215806,2.521377848
PE,Lima,Ate Norte,Non Wealthy,Not Prioritized,Gross Profit UE,0.9900858,-0.209918923,-0.081892801,1.441701865,0.761379296,0.531895384,1.335942351,1.150634626,-0.744990108
MX,San Luis Potosi,SLP_penasco,Non Wealthy,Prioritized,Retail SST > SS CVR,0.848559429,0.855448549,0.865437282,0.858714549,0.856426129,0.858707286,0.872942344,0.882721042,0.877726913
BR,Hortolândia,DOM PARQUE HORTOLANDIA HOR,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.129365079,0.087301587,0.145238095,0.146428571,0.092857143,0.153571429,0.089285714,0.05,0.025
EC,Guayaquil,Atarazana,Non Wealthy,Prioritized,Retail SST > SS CVR,0.958487469,0.956155924,0.951131506,0.95260768,0.954410251,0.954135451,0.952806578,0.94861426,0.951064198
MX,Culiacan,Barrancos_Primavera,Wealthy,High Priority,Retail SST > SS CVR,0.882476682,0.884674679,0.887941144,0.893640711,0.88457613,0.881174489,0.890364511,0.901592876,0.897744598
BR,Grande São Paulo,SP - SP - Socorro/Cidade Dutra,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.908067749,0.908090215,0.90317334,0.901032544,0.902807241,0.913952218,0.906567813,0.910810208,0.895895171
EC,Cuenca,El Vecino,Non Wealthy,Prioritized,Gross Profit UE,-0.08837257,1.284931002,1.146012079,0.41240202,-0.174582694,-1.338776028,-3.857058634,-3.639269646,-2.085697583
MX,Merida,MID_FRANCISCO DE MONTEJO,Non Wealthy,Prioritized,Gross Profit UE,1.567298377,1.505170109,1.167550536,0.800356644,1.099618458,1.005163421,0.972088009,1.55138452,1.574557847
CL,Santiago De Chile,autopista_central,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.80094682,0.824372588,0.781328182,0.75849519,0.689833437,0.713056074,0.666299788,0.678759189,0.710789263
BR,Rio De Janeiro,Cidade Nova,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.940177797,0.938062421,0.935646246,0.939089571,0.937894349,0.943048476,0.952625854,0.955402258,0.954690723
AR,Buenos Aires,CABALLITO,Wealthy,Prioritized,Gross Profit UE,3.666752752,3.635928706,3.305324976,3.35728872,3.926508028,4.213631527,4.221476596,4.512869804,2.974062294
AR,Santiago Del Estero,SANTIAGO_DEL_ESTERO,Non Wealthy,Not Prioritized,Gross Profit UE,-1.673357127,-2.238281154,-2.225027721,-2.172050146,-2.157379153,-1.72921146,-1.357371292,-1.157660373,-1.861102742
BR,Rio De Janeiro,Caxias,Non Wealthy,Not Prioritized,Gross Profit UE,-14.84721437,-13.61613962,-5.314942037,-2.871847909,-5.080723866,-2.891128145,-1.41418636,-2.353480605,-0.569257706
EC,Machala,Jambeli,Non Wealthy,Not Prioritized,Gross Profit UE,-2.5077656,-0.885424628,1.509197579,2.938833441,1.484978279,2.662051065,3.060490789,0.206787873,1.23428069
UY,Montevideo,Pocitos,Non Wealthy,High Priority,Retail SST > SS CVR,0.92597646,0.930698867,0.930475143,0.927304111,0.927646689,0.921458036,0.927960658,0.934598113,0.939259579
AR,Buenos Aires,PILAR,Non Wealthy,Prioritized,Gross Profit UE,-2.982940383,-2.576506572,-2.199525005,-2.310376081,-1.611533954,-1.004067274,-1.409859797,-1.714187745,-2.832679608
MX,Aguascalientes,AGS_Industrial Sur,Non Wealthy,Prioritized,Gross Profit UE,0.733466963,0.410547998,0.481039498,1.112395758,1.339606645,0.97756918,1.115143586,1.922397311,1.841660208
PE,Lima,Huachipa,Non Wealthy,Prioritized,Retail SST > SS CVR,0.817931188,0.820152536,0.818888761,0.826480722,0.814717617,0.802242333,0.813126034,0.826705888,0.844456338
MX,Rio Verde,RVE Rio Verde El Manantial,Non Wealthy,Not Prioritized,Gross Profit UE,,,,,1.02390026,,2.083844682,,2.723104024
CL,Rancagua,Manzanal,Non Wealthy,Prioritized,Gross Profit UE,-3.733157846,-4.39334288,-6.344064756,-5.702089495,-4.191239789,-4.887249563,-5.159517045,-4.634237061,-5.380754172
MX,Ciudad De Mexico,Centro-Histórico,Non Wealthy,Prioritized,Gross Profit UE,1.205602958,0.587535479,0.177984267,0.102620658,0.489614209,0.386661258,0.640101096,1.13444574,0.912158085
MX,Tijuana,TIJ_El_Refugio,Non Wealthy,Prioritized,Gross Profit UE,-2.252072885,-2.260420898,-2.111481088,-1.807366407,-0.764672264,-0.514309555,-0.882015995,-0.538100324,-0.096682801
MX,Tijuana,TIJ_Otay_Industrial,Wealthy,Prioritized,Gross Profit UE,-1.441953844,-1.605307611,-1.489626724,-1.161246756,-0.137494434,0.440598833,0.119879612,0.244610625,0.079697552
EC,Guayaquil,Via la costa Este,Wealthy,Prioritized,Gross Profit UE,2.825274438,2.700884525,2.215488076,2.317575329,1.896971105,2.252750811,2.317786954,2.921843958,2.863485376
CR,San Jose,Guadalupe_Sabanilla,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.781665531,0.78316332,0.803540307,0.789488932,0.781023198,0.785473336,0.794211076,0.762504317,0.787208159
BR,Brasilia,DF - BSB - Lago Norte,Non Wealthy,Not Prioritized,Gross Profit UE,3.921683717,1.816596754,1.073848601,1.812626725,2.090450991,2.090122521,3.763377925,3.942054986,4.767534015
CO,Bogota,Usme,Non Wealthy,Not Prioritized,Gross Profit UE,0.914189992,0.795729268,1.039519007,0.622575044,1.07300656,1.732865386,1.896149979,1.730961001,1.851671029
MX,Navojoa,Navojoa,Non Wealthy,Not Prioritized,Gross Profit UE,2.210955182,1.629472691,2.075182681,2.563709568,2.943260731,2.971118673,2.52863185,2.920584335,2.805566591
BR,Recife,PE - REC - Areia/Ibura/Jordão,Non Wealthy,Not Prioritized,Gross Profit UE,-1.270199208,-1.487579506,-1.502995514,-1.453960718,-0.597423037,0.488084536,0.70446758,0.786288606,-0.360864512
BR,Joinville,MP Glória JOI,Non Wealthy,Not Prioritized,Lead Penetration,0.616666667,0.65,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
PE,Lima,San Gabriel Alto,Non Wealthy,Not Prioritized,Gross Profit UE,0.034338304,-0.576619051,-0.347738129,0.218201335,0.3350223,0.229037524,0.228179011,0.421882206,0.069819962
CO,Bello,Popular,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.875464988,0.881875891,0.870074743,0.874515779,0.873285147,0.861670918,0.861515023,0.878814935,0.812657828
CL,Rancagua,Machali,Non Wealthy,Prioritized,Gross Profit UE,-5.829527232,-3.351034352,-5.251899231,-7.305193413,-7.645310457,-6.678599531,-5.424966896,-3.832730884,-7.592759092
BR,Londrina,Leonor,Non Wealthy,Not Prioritized,Gross Profit UE,-3.595873075,-6.373337354,-5.953261626,-4.180426868,-4.078131667,-3.999679111,-4.535983075,-5.535327853,-2.008843909
BR,Curitiba,PR - CWB - Cristo Rei/Juveve,Wealthy,Prioritized,Gross Profit UE,1.000849373,1.049281452,1.12449422,1.321396429,1.706490237,1.997218108,2.203006951,2.333942388,1.788638181
CO,Barranquilla,Villa Campestre,Wealthy,Prioritized,Gross Profit UE,1.768940499,1.619876963,1.749064259,1.919229927,2.019476213,2.207620692,2.293560105,2.274124041,1.731553036
PE,Trujillo,La Esperanza,Non Wealthy,Prioritized,Gross Profit UE,0.478323361,0.12880278,0.037108711,0.161998322,-0.190898025,-0.414579847,-0.510067731,-0.448351115,-1.251135182
CL,Puerto Varas,Puerto Varas,Non Wealthy,Not Prioritized,Lead Penetration,0.006024096,0.006024096,0.006024096,0.006024096,0.005224116,0.00462413,0.00422414,0.004024145,0.004024145
CO,Chia,Cota,Wealthy,Prioritized,Gross Profit UE,1.226473849,1.365533677,1.385121734,1.587401471,1.523183008,1.856162473,2.015804782,2.236706858,2.320275588
MX,Cancun,Cun Centro,Wealthy,High Priority,Retail SST > SS CVR,0.899590114,0.905310042,0.910336493,0.911354647,0.90161893,0.904276526,0.910707385,0.917387026,0.913912161
PE,Ica,San_Joaquin,Non Wealthy,Prioritized,Gross Profit UE,-0.839147515,-1.020127682,-0.9637881,-0.43137621,-0.676036078,-0.570643201,-0.660840299,-1.083838408,-1.406898143
MX,Ensenada,ENS_Ensenada_2,Non Wealthy,Prioritized,Retail SST > SS CVR,0.843094106,0.856017054,0.859669695,0.859603802,0.848140882,0.853384802,0.842731674,0.864835041,0.861448582
CL,Viña Del Mar,Interior V región,Non Wealthy,Not Prioritized,Gross Profit UE,1.593550212,0.693455165,-0.055595136,0.509035303,1.187712757,1.381631336,1.335319563,1.755849793,1.019813961
PE,Arequipa,Misti Norte,Non Wealthy,Prioritized,Gross Profit UE,0.628067614,0.430065716,0.458433023,0.570513491,0.235481651,-0.197292526,-0.254947849,-0.002614799,-0.818723117
CO,Pitalito,Pitalito,Non Wealthy,Not Prioritized,Gross Profit UE,-1.809511863,-4.003395668,-4.147964391,-3.371118206,-2.877166831,9.967818595,-0.706294031,-7.468813313,-7.09267364
MX,Ciudad De Mexico,CDMX_Cuautitlán_Izcalli_Centro,Non Wealthy,Prioritized,Retail SST > SS CVR,0.823331349,0.842502745,0.855951856,0.859231336,0.859774837,0.846354476,0.855431624,0.859235256,0.86016709
MX,Playa Del Carmen,PDC_Villas_del_Sol,Non Wealthy,Prioritized,Retail SST > SS CVR,0.91874968,0.921921104,0.921758621,0.924142106,0.906171524,0.910739019,0.916593094,0.919213272,0.917435771
BR,Curitiba,PR - CWB - CIC,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.946948841,0.946546179,0.944920483,0.942383396,0.939198458,0.94485533,0.951023836,0.954136433,0.947157545
CO,Pereira,Pinares_Dosquebradas,Non Wealthy,Prioritized,Gross Profit UE,2.379903182,2.16579942,2.010752511,2.048160804,2.368479324,2.598730258,2.745727415,2.880968956,2.455401065
CO,Zipaquira,Zipaquira,Non Wealthy,Not Prioritized,Retail SST > SS CVR,0.878090471,0.878403088,0.882172021,0.876826237,0.878926222,0.88437099,0.882825424,0.876271821,0.874494096
BR,Rio De Janeiro,Leblon,Wealthy,High Priority,Gross Profit UE,3.537567131,3.783031129,4.050116442,3.990021424,4.314804808,4.92881142,5.154103937,5.230119724,4.661364403
PE,Lima,Ate Centro,Non Wealthy,Prioritized,% Restaurants Sessions With Optimal Assortment,0.853147198,0.86996539,0.879313092,0.881928972,0.885360686,0.884466669,0.879841092,0.879780286,0.878573987
PE,Lima,Ate Centro,Non Wealthy,Prioritized,Pro Adoption (Last Week Status),0.207425919,0.217857143,0.218374558,0.213634707,0.219691661,0.209863946,0.206216578,0.198848239,0.215299685
PE,Lima,Ate Centro,Non Wealthy,Prioritized,Turbo Adoption,0.236607143,0.193675889,0.191570881,0.175510204,0.175824176,0.062647754,0.085680751,0.067363531,0.078677309
PE,Chimbote,Bellamar,Non Wealthy,Not Prioritized,Lead Penetration,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
PE,Chimbote,Bellamar,Non Wealthy,Not Prioritized,Restaurants Markdowns / GMV,0.17852555,0.172532372,0.171881406,0.168276062,0.154672536,0.159625457,0.132460014,0.151691638,0.151350399
MX,Ciudad Juarez,JRZ_Centro,Non Wealthy,High Priority,% PRO Users Who Breakeven,0.262842466,0.269198312,0.280205656,0.292620865,0.278934222,0.273095624,0.265273312,0.233713355,0.225490196
PE,Arequipa,Misti Norte,Non Wealthy,Prioritized,MLTV Top Verticals Adoption,0.047311064,0.045396382,0.043637002,0.042227111,0.043581733,0.04638497,0.049985665,0.052934327,0.053929412
CO,Cali,Puerta del Sol 2,Non Wealthy,Not Prioritized,Non-Pro PTC > OP,0.737074557,0.730885836,0.729668138,0.727569151,0.736995718,0.728959346,0.724239605,0.719174187,0.726081857
